Table number,Case number,Depth (m),H (cm),T (s),U (cm/s),Occa (deg),Ub (cm/s),Zo (cm),U.S (cm/s),U.cw (cm/s),U.w (cm/s),u.c (cm/s),f,Scow (cm),Z' (cm),Cdo,Z_r (m),Ds (um),k_ripple (um),k_biol (um),Psi_max
5,1,20,10,5,6,15,0.45,0,0.22,0.31,0.15,0.27,0.05,0.19,0.01,0.00174,1,50,0,1000,0
5,2,20,50,8,5,45,10.18,0,0.77,1.07,1.04,0.32,0.02,1.09,0.12,0.00374,1,50,0,1000,0
5,3,20,100,8,15,0,20.35,0,1.6,2.16,1.93,0.96,0.01,2.2,0.09,0.00347,1,50,0,1000,0
5,4,20,5,5,12,45,0.23,0,0.4,0.5,0.12,0.49,0.04,0.32,0,0.00164,1,50,0,1000,0
5,5,20,100,8,5,15,20.35,0,1.36,1.86,1.82,0.39,0.02,1.89,0.34,0.0052,1,50,0,1000,0
5,6,15,10,5,6,15,1.08,0,0.27,0.37,0.24,0.28,0.04,0.24,0.01,0.00189,1,50,0,1000,0
5,7,15,50,8,5,45,13.8,0,0.98,1.35,1.32,0.35,0.02,1.38,0.19,0.00429,1,50,0,1000,0
5,8,15,100,8,15,0,27.6,0,1.98,2.65,2.44,1.03,0.01,2.7,0.15,0.004,1,50,0,1000,0
5,9,15,5,5,12,45,0.54,0,0.41,0.52,0.19,0.49,0.04,0.33,0,0.00168,1,50,0,1000,0
5,10,15,100,8,5,15,27.6,0,1.74,2.37,2.34,0.42,0.01,2.42,0.52,0.00606,1,50,0,1000,0
